,PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG
1356,1758,Andrew Betts,1998,2,21,50,Draft,1610612766,Charlotte,Hornets,CHH,Long Beach State,College/University,0
1357,1759,Corey Brewer,1998,2,22,51,Draft,1610612748,Miami,Heat,MIA,Oklahoma,College/University,0
1358,1760,Derrick Dial,1998,2,23,52,Draft,1610612759,San Antonio,Spurs,SAS,Eastern Michigan,College/University,1
1359,1761,Greg Buckner,1998,2,24,53,Draft,1610612742,Dallas,Mavericks,DAL,Clemson,College/University,1
1360,1762,Tremaine Fowlkes,1998,2,25,54,Draft,1610612743,Denver,Nuggets,DEN,Fresno State,College/University,1
1361,1763,Ryan Bowen,1998,2,26,55,Draft,1610612743,Denver,Nuggets,DEN,Iowa,College/University,1
1362,1764,J.R. Henderson,1998,2,27,56,Draft,1610612763,Vancouver,Grizzlies,VAN,California-Los Angeles,College/University,1
1363,1765,Torraye Braggs,1998,2,28,57,Draft,1610612762,Utah,Jazz,UTA,Xavier,College/University,1
1364,1766,Maceo Baston,1998,2,29,58,Draft,1610612741,Chicago,Bulls,CHI,Michigan,College/University,1
1365,1495,Tim Duncan,1997,1,1,1,Draft,1610612759,San Antonio,Spurs,SAS,Wake Forest,College/University,1
1366,1496,Keith Van Horn,1997,1,2,2,Draft,1610612755,Philadelphia,76ers,PHI,Utah,College/University,1
1367,1497,Chauncey Billups,1997,1,3,3,Draft,1610612738,Boston,Celtics,BOS,Colorado,College/University,1
1368,1498,Antonio Daniels,1997,1,4,4,Draft,1610612763,Vancouver,Grizzlies,VAN,Bowling Green,College/University,1
1369,1499,Tony Battie,1997,1,5,5,Draft,1610612743,Denver,Nuggets,DEN,Texas Tech,College/University,1
1370,1500,Ron Mercer,1997,1,6,6,Draft,1610612738,Boston,Celtics,BOS,Kentucky,College/University,1
1371,1501,Tim Thomas,1997,1,7,7,Draft,1610612751,New Jersey,Nets,NJN,Villanova,College/University,1
1372,1502,Adonal Foyle,1997,1,8,8,Draft,1610612744,Golden State,Warriors,GSW,Colgate,College/University,1
1373,1503,Tracy McGrady,1997,1,9,9,Draft,1610612761,Toronto,Raptors,TOR,Mount Zion Christian Academy,High School,1
1374,1504,Danny Fortson,1997,1,10,10,Draft,1610612749,Milwaukee,Bucks,MIL,Cincinnati,College/University,1
1375,1505,Tariq Abdul-Wahad,1997,1,11,11,Draft,1610612758,Sacramento,Kings,SAC,San Jose State,College/University,1
1376,1506,Austin Croshere,1997,1,12,12,Draft,1610612754,Indiana,Pacers,IND,Providence,College/University,1
1377,1507,Derek Anderson,1997,1,13,13,Draft,1610612739,Cleveland,Cavaliers,CLE,Kentucky,College/University,1
1378,1508,Maurice Taylor,1997,1,14,14,Draft,1610612746,Los Angeles,Clippers,LAC,Michigan,College/University,1
1379,1509,Kelvin Cato,1997,1,15,15,Draft,1610612742,Dallas,Mavericks,DAL,Iowa State,College/University,1
1380,1510,Brevin Knight,1997,1,16,16,Draft,1610612739,Cleveland,Cavaliers,CLE,Stanford,College/University,1
1381,1511,Johnny Taylor,1997,1,17,17,Draft,1610612753,Orlando,Magic,ORL,Tennessee-Chattanooga,College/University,1
1382,1512,Chris Anstey,1997,1,18,18,Draft,1610612757,Portland,Trail Blazers,POR,South East Melbourne Magic (Australia),Other Team/Club,1
1383,1513,Scot Pollard,1997,1,19,19,Draft,1610612765,Detroit,Pistons,DET,Kansas,College/University,1
1384,1514,Paul Grant,1997,1,20,20,Draft,1610612750,Minnesota,Timberwolves,MIN,Wisconsin,College/University,1
1385,1515,Anthony Parker,1997,1,21,21,Draft,1610612751,New Jersey,Nets,NJN,Bradley,College/University,1
1386,1516,Ed Gray,1997,1,22,22,Draft,1610612737,Atlanta,Hawks,ATL,California,College/University,1
1387,1517,Bobby Jackson,1997,1,23,23,Draft,1610612760,Seattle,SuperSonics,SEA,Minnesota,College/University,1
1388,1518,Rodrick Rhodes,1997,1,24,24,Draft,1610612745,Houston,Rockets,HOU,Southern California,College/University,1
1389,1519,John Thomas,1997,1,25,25,Draft,1610612752,New York,Knicks,NYK,Minnesota,College/University,1
1390,1520,Charles Smith,1997,1,26,26,Draft,1610612748,Miami,Heat,MIA,New Mexico,College/University,1
1391,1521,Jacque Vaughn,1997,1,27,27,Draft,1610612762,Utah,Jazz,UTA,Kansas,College/University,1
1392,1522,Keith Booth,1997,1,28,28,Draft,1610612741,Chicago,Bulls,CHI,Maryland,College/University,1
1393,1523,Serge Zwikker,1997,2,1,29,Draft,1610612745,Houston,Rockets,HOU,North Carolina,College/University,1
1394,1524,Mark Sanford,1997,2,2,30,Draft,1610612748,Miami,Heat,MIA,Washington,College/University,0
1395,1525,Charles O'Bannon,1997,2,3,31,Draft,1610612765,Detroit,Pistons,DET,California-Los Angeles,College/University,1
1396,1526,James Cotton,1997,2,4,32,Draft,1610612743,Denver,Nuggets,DEN,Long Beach State,College/University,1
1397,1527,Marko Milic,1997,2,5,33,Draft,1610612755,Philadelphia,76ers,PHI,KK Olimpija (Slovenia),Other Team/Club,1
1398,1528,Bubba Wells,1997,2,6,34,Draft,1610612742,Dallas,Mavericks,DAL,Austin Peay,College/University,1
1399,1529,Kebu Stewart,1997,2,7,35,Draft,1610612755,Philadelphia,76ers,PHI,Cal State-Bakersfield,College/University,1
1400,1530,James Collins,1997,2,8,36,Draft,1610612755,Philadelphia,76ers,PHI,Florida State,College/University,1
1401,1531,Marc Jackson,1997,2,9,37,Draft,1610612744,Golden State,Warriors,GSW,Temple,College/University,1
1402,1532,Jerald Honeycutt,1997,2,10,38,Draft,1610612749,Milwaukee,Bucks,MIL,Tulane,College/University,1
1403,1533,Anthony Johnson,1997,2,11,39,Draft,1610612758,Sacramento,Kings,SAC,College of Charleston,College/University,1
1404,1534,Eddie Elisma,1997,2,12,40,Draft,1610612760,Seattle,SuperSonics,SEA,Georgia Tech,College/University,0
1405,1535,Jason Lawson,1997,2,13,41,Draft,1610612743,Denver,Nuggets,DEN,Villanova,College/University,1
1406,1536,Stephen Jackson,1997,2,14,42,Draft,1610612756,Phoenix,Suns,PHX,Butler Community College,College/University,1
1407,1537,Gordon Malone,1997,2,15,43,Draft,1610612750,Minnesota,Timberwolves,MIN,West Virginia,College/University,0
1408,1538,Cedric Henderson,1997,2,16,44,Draft,1610612739,Cleveland,Cavaliers,CLE,Memphis,College/University,1
1409,1539,God Shammgod,1997,2,17,45,Draft,1610612764,Washington,Wizards,WAS,Providence,College/University,1
1410,1540,Eric Washington,1997,2,18,46,Draft,1610612753,Orlando,Magic,ORL,Alabama,College/University,1
1411,1541,Alvin Williams,1997,2,19,47,Draft,1610612757,Portland,Trail Blazers,POR,Villanova,College/University,1
1412,1542,Predrag Drobnjak,1997,2,20,48,Draft,1610612764,Washington,Wizards,WAS,KK Partizan (Serbia),Other Team/Club,1
1413,1543,Alain Digbeau,1997,2,21,49,Draft,1610612737,Atlanta,Hawks,ATL,ASVEL Basket (France),Other Team/Club,0
1414,1544,Chris Crawford,1997,2,22,50,Draft,1610612737,Atlanta,Hawks,ATL,Marquette,College/University,1
1415,1545,DeJuan Wheat,1997,2,23,51,Draft,1610612747,Los Angeles,Lakers,LAL,Louisville,College/University,1
1416,1546,C.J. Bruton,1997,2,24,52,Draft,1610612763,Vancouver,Grizzlies,VAN,Indian Hills Community College,College/University,0
1417,1547,Paul Rogers,1997,2,25,53,Draft,1610612747,Los Angeles,Lakers,LAL,Gonzaga,College/University,0
1418,1548,Mark Blount,1997,2,26,54,Draft,1610612760,Seattle,SuperSonics,SEA,Pittsburgh,College/University,1
1419,1549,Ben Pepper,1997,2,27,55,Draft,1610612738,Boston,Celtics,BOS,Newcastle Falcons (Australia),Other Team/Club,0
1420,1550,Nate Erdmann,1997,2,28,56,Draft,1610612762,Utah,Jazz,UTA,Oklahoma,College/University,0
1421,1551,Roberto Duenas,1997,2,29,57,Draft,1610612741,Chicago,Bulls,CHI,FC Barcelona Basquet (Spain),Other Team/Club,0
1422,947,Allen Iverson,1996,1,1,1,Draft,1610612755,Philadelphia,76ers,PHI,Georgetown,College/University,1
1423,948,Marcus Camby,1996,1,2,2,Draft,1610612761,Toronto,Raptors,TOR,Massachusetts,College/University,1
1424,949,Shareef Abdur-Rahim,1996,1,3,3,Draft,1610612763,Vancouver,Grizzlies,VAN,California,College/University,1
1425,950,Stephon Marbury,1996,1,4,4,Draft,1610612749,Milwaukee,Bucks,MIL,Georgia Tech,College/University,1
1426,951,Ray Allen,1996,1,5,5,Draft,1610612750,Minnesota,Timberwolves,MIN,Connecticut,College/University,1
1427,952,Antoine Walker,1996,1,6,6,Draft,1610612738,Boston,Celtics,BOS,Kentucky,College/University,1
1428,953,Lorenzen Wright,1996,1,7,7,Draft,1610612746,Los Angeles,Clippers,LAC,Memphis,College/University,1
1429,954,Kerry Kittles,1996,1,8,8,Draft,1610612751,New Jersey,Nets,NJN,Villanova,College/University,1
1430,955,Samaki Walker,1996,1,9,9,Draft,1610612742,Dallas,Mavericks,DAL,Louisville,College/University,1
1431,956,Erick Dampier,1996,1,10,10,Draft,1610612754,Indiana,Pacers,IND,Mississippi State,College/University,1
1432,957,Todd Fuller,1996,1,11,11,Draft,1610612744,Golden State,Warriors,GSW,North Carolina State,College/University,1
1433,958,Vitaly Potapenko,1996,1,12,12,Draft,1610612739,Cleveland,Cavaliers,CLE,Wright State,College/University,1
1434,977,Kobe Bryant,1996,1,13,13,Draft,1610612766,Charlotte,Hornets,CHH,Lower Merion,High School,1
1435,978,Peja Stojakovic,1996,1,14,14,Draft,1610612758,Sacramento,Kings,SAC,P.A.O.K. B.C. (Greece),Other Team/Club,1
1436,959,Steve Nash,1996,1,15,15,Draft,1610612756,Phoenix,Suns,PHX,Santa Clara,College/University,1
1437,960,Tony Delk,1996,1,16,16,Draft,1610612766,Charlotte,Hornets,CHH,Kentucky,College/University,1
1438,979,Jermaine O'Neal,1996,1,17,17,Draft,1610612757,Portland,Trail Blazers,POR,Eau Claire,High School,1
1439,961,John Wallace,1996,1,18,18,Draft,1610612752,New York,Knicks,NYK,Syracuse,College/University,1
1440,962,Walter McCarty,1996,1,19,19,Draft,1610612752,New York,Knicks,NYK,Kentucky,College/University,1
1441,980,Zydrunas Ilgauskas,1996,1,20,20,Draft,1610612739,Cleveland,Cavaliers,CLE,LSU-Atletas (Lithuania),Other Team/Club,1
1442,963,Dontae' Jones,1996,1,21,21,Draft,1610612752,New York,Knicks,NYK,Mississippi State,College/University,1
1443,964,Roy Rogers,1996,1,22,22,Draft,1610612763,Vancouver,Grizzlies,VAN,Alabama,College/University,1
1444,981,Efthimios Rentzias,1996,1,23,23,Draft,1610612743,Denver,Nuggets,DEN,P.A.O.K. B.C. (Greece),Other Team/Club,1
1445,965,Derek Fisher,1996,1,24,24,Draft,1610612747,Los Angeles,Lakers,LAL,Arkansas-Little Rock,College/University,1
1446,982,Martin Muursepp,1996,1,25,25,Draft,1610612762,Utah,Jazz,UTA,BC Kalev/Cramo (Estonia),Other Team/Club,1
1447,966,Jerome Williams,1996,1,26,26,Draft,1610612765,Detroit,Pistons,DET,Georgetown,College/University,1
1448,967,Brian Evans,1996,1,27,27,Draft,1610612753,Orlando,Magic,ORL,Indiana,College/University,1
1449,968,Priest Lauderdale,1996,1,28,28,Draft,1610612737,Atlanta,Hawks,ATL,Peristeri B.C. (Greece),Other Team/Club,1
1450,969,Travis Knight,1996,1,29,29,Draft,1610612741,Chicago,Bulls,CHI,Connecticut,College/University,1
